model,natNomRes atmos,natNomRes Ocean,native_atmos_grid_lon,native_atmos_grid_lat,area_at_equator
ACCESS-CM2,250,100,1.9,1.3,30432.87
ACCESS-ESM1-5,250,100,1.9,1.3,30432.87
AWI-CM-1-1-MR,100,25,0.9,0.9,9980.01
AWI-ESM-1-1-LR,250,50,1.9,1.9,44478.81
BCC-CSM2-MR,100,50,1.1,1.1,14908.41
BCC-ESM1,250,50,2.8,2.8,96596.64
CAMS-CSM1-0,100,100,1.1,1.1,14908.41
CAS-ESM2-0,100,100,1.4,1.4,24149.16
CESM2,100,100,1.3,0.9,14415.57
CESM2-FV2,250,100,2.5,1.9,58524.75
CESM2-WACCM,100,100,1.3,0.9,14415.57
CESM2-WACCM-FV2,250,100,2.5,1.9,58524.75
CMCC-CM2-HR4,100,25,1.3,0.9,14415.57
CMCC-CM2-SR5,100,100,1.3,0.9,14415.57
CNRM-CM6-1,250,100,1.4,1.4,24149.16
CNRM-CM6-1-HR,100,25,0.5,0.5,3080.25
CNRM-ESM2-1,250,100,1.4,1.4,24149.16
CanESM5,500,100,2.8,2.8,96596.64
E3SM-1-1,100,50,1,1,12321
E3SM-1-1-ECA,100,50,1,1,12321
EC-Earth3,100,100,0.7,0.7,6037.29
EC-Earth3-Veg,100,100,0.7,0.7,6037.29
EC-Earth3-Veg-LR,250,100,1.1,1.1,14908.41
FGOALS-f3-L,100,100,1.3,1,16017.3
FGOALS-g3,250,100,2,2.3,56676.6
GFDL-CM4,100,25,1.3,1,16017.3
GFDL-ESM4,100,50,1.3,1,16017.3
GISS-E2-1-G,250,100,2.5,2,61605
GISS-E2-1-G-CC,250,100,2.5,2,61605
GISS-E2-1-H,250,100,2.5,2,61605
HadGEM3-GC31-LL,250,100,1.9,1.3,30432.87
HadGEM3-GC31-MM,100,25,0.8,0.6,5914.08
IITM-ESM,250,100,1.9,1.9,44478.81
INM-CM4-8,100,100,2,1.5,36963
INM-CM5-0,100,50,2,1.5,36963
IPSL-CM6A-LR,250,100,2.5,1.3,40043.25
KACE-1-0-G,250,100,1.9,1.3,30432.87
MIROC-ES2L,500,100,2.8,2.8,96596.64
MIROC6,250,100,1.4,1.4,24149.16
MPI-ESM-1-2-HAM,250,250,1.9,1.9,44478.81
MPI-ESM1-2-HR,100,50,0.9,0.9,9980.01
MPI-ESM1-2-LR,250,250,1.9,1.9,44478.81
MRI-ESM2-0,100,100,1.1,1.1,14908.41
NESM3,250,100,1.9,1.9,44478.81
NorCPM1,250,100,2.5,1.9,58524.75
NorESM2-LM,250,100,2.5,1.9,58524.75
NorESM2-MM,100,100,1.3,0.9,14415.57
SAM0-UNICON,100,100,1.3,0.9,14415.57
TaiESM1,100,100,1.3,0.9,14415.57
UKESM1-0-LL,250,100,1.9,1.3,30432.87